V160101f,V160102f,V161024x,V161140x,V161158x,V161188,V161192,V161194x,V161198,V161204x,V161208,V161209,V161210,V161211,V161212,V161213x,V161214x,V161215,V161216,V161217,V161218,V161219,V161220,V161221,V161225x,V161227x,V161228x,V161229x,V161231,V161232,V161233x,V161235x,V161236,V161237,V161241,V161242,V161243,V161244,V161245,V161267x,V161268,V161270,V161276x,V161310x,V161316,V161324,V161326,V161327,V161331x,V161334,V161340,V161342,V161343,V161344,V161345,V161361x,V161362,V161496,V161507,V161508,V161509,V161510,V161511,V161515,V161516,V161522,V162010,V162011,V162012,V162013,V162014,V162014a,V162016,V162016a,V162018a,V162018b,V162018c,V162018d,V162018e,V162019,V162030x,V162031x,V162062x,V162066x,V162067x,V162068x,V162069x,V162078,V162079,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,V162123,V162125x,V162136x,V162147x,V162150x,V162157,V162158,V162160,V162168,V162169,V162170,V162171,V162174a,V162178,V162179,V162180x,V162188x,V162191a,V162193x,V162207,V162209,V162210,V162211,V162212,V162213,V162214,V162229x,V162230x,V162231x,V162238x,V162239,V162240,V162241,V162242,V162254,V162255x,V162262,V162263,V162266,V162268,V162269,V162270,V162271,V162272,V162273,V162274,V162290,V162310,V162311,V162312,V162313,V162314,V162316,V162317,V162318,V162319,V162320,V162321,V162322,V162323,V162324,V162325,V162345,V162346,V162347,V162348,V162349,V162350,V162351,V162352,V162353,V162354,V162355,V162356,V162357,V162358,V162359,V162360,V162361,V162362,V162363,V162364,V162365,V162366,V162367,V162368,V162369,V168112,V168113
2.299,0.0,3,5,5,1,1,4,6,6,1,3,1,1,1,2,7,4,1,1,3,3,3,1,5,1,1,1,1,1,1,5,4,1,1,3,2,2,-1,6,4,7,1,1,1,0,1,2,17,3,2,2,2,1,3,11,4,1,4,5,5,5,1,1,1,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0.596,0.0,3,3,3,1,3,7,99,5,1,1,1,1,1,6,4,2,2,2,4,3,1,1,1,2,1,2,2,3,1,3,1,3,1,1,2,2,-1,13,3,10,5,1,1,0,1,3,40,3,2,2,3,1,2,14,3,0,3,3,3,5,1,2,2,3,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0.985,0.915,3,3,5,3,3,7,2,4,1,3,1,3,2,5,4,4,1,2,4,4,1,2,4,5,-8,1,1,4,3,2,2,2,1,1,2,2,-1,4,6,13,1,5,4,0,1,2,1,1,1,1,2,2,3,24,2,2,2,3,4,4,1,2,2,3,1,2,2,2,2,-1,2,-1,2,1,1,1,1,1,4,1,3,30,2,2,-1,40,40,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,2,1,6,1,2,3,4,1,2,2,3,5,7,1,1,2,4,2,3,2,1,2,4,2,2,4,6,3,2,2,1,2,1,1,2,9,2,3,2,2,4,5,2,4,2,2,2,100,100,100,85,100,-1,-1,2,-1,1,2,1,3,3,3,4,4,5,5,5,5,5,5,5,5,3,2,2,2,3,4,3,3,4,1,4,1,-4,8,3,1,1
1.25,1.311,3,3,2,1,2,1,4,7,1,2,3,1,2,1,7,5,1,1,3,4,2,1,4,1,1,2,2,2,1,4,2,1,1,1,2,1,4,11,1,12,1,1,1,0,1,3,40,1,1,1,5,1,3,14,4,10,5,2,2,3,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,-1,1,2,21,-1,2,-1,0,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,1,1,6,1,1,5,2,1,1,4,4,6,2,3,1,2,7,2,4,2,2,1,2,5,4,3,5,1,4,5,2,2,2,1,3,1,1,1,2,1,5,2,1,3,1,1,1,60,60,85,15,85,2,1,3,1,2,-1,2,2,2,2,3,3,3,3,2,4,5,2,4,2,6,2,3,3,3,4,4,-9,4,3,4,-9,-4,1,5,1,1
0.36,0.361,3,2,1,2,4,7,2,2,1,3,1,1,1,3,2,4,2,2,4,4,2,1,1,5,6,1,1,4,3,1,2,4,1,3,2,1,1,10,4,14,1,1,1,0,1,2,1,1,2,2,1,1,2,10,2,0,5,5,5,5,1,2,2,2,1,2,2,2,2,-1,2,-1,2,1,1,1,1,2,-1,1,1,11,1,1,1,70,15,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,5,2,4,1,1,2,4,4,1,4,5,3,7,2,1,4,1,2,2,4,2,4,4,1,2,5,4,4,3,2,1,1,2,1,3,10,4,5,5,3,4,4,4,4,2,3,2,85,70,85,50,85,5,5,2,-1,1,3,2,3,3,2,4,4,3,4,4,4,4,3,3,4,4,4,3,3,4,5,1,3,5,2,4,1,-4,2,5,3,3
1.126,1.064,1,5,1,2,1,1,7,7,1,1,1,1,1,1,-8,2,2,3,4,4,2,1,2,5,1,1,2,2,3,5,1,4,1,-8,2,2,-1,8,6,9,6,1,1,0,2,-8,13,1,2,1,3,2,3,3,3,0,2,2,2,1,1,2,2,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,0,70,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,1,4,7,1,1,4,2,3,2,2,1,99,1,2,1,2,1,2,1,2,5,3,2,3,5,5,7,1,2,5,2,2,1,1,2,8,5,2,1,5,4,4,2,2,1,1,2,70,50,85,0,100,3,5,1,1,1,2,1,3,3,3,3,4,4,1,4,3,4,4,5,1,4,3,-9,3,3,3,2,3,3,2,4,-9,-4,2,5,3,3
0.868,0.982,3,2,1,1,3,6,3,2,3,1,1,1,1,3,1,2,1,3,4,2,1,1,1,6,5,1,1,4,4,1,2,4,2,-1,3,2,-1,7,1,14,1,5,1,2,1,2,17,2,1,1,1,1,2,27,2,2,4,3,2,3,1,2,2,3,1,1,1,1,1,1,2,-1,2,1,2,1,2,2,1,1,1,11,1,-1,-1,85,15,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,3,2,5,1,1,2,3,3,1,4,5,2,5,2,1,4,1,2,2,3,2,2,4,2,2,4,6,4,2,2,1,1,2,1,4,10,5,3,4,1,5,5,4,4,2,2,2,85,85,70,70,70,-1,-1,1,3,1,2,1,3,3,3,3,4,3,2,3,4,3,2,4,3,4,3,2,3,4,4,3,3,5,2,4,2,-4,1,5,2,2
0.258,0.23399999999999999,3,3,7,1,1,1,6,7,1,2,2,2,1,7,6,3,1,2,3,3,2,1,6,6,1,1,1,4,1,4,2,3,2,-1,3,2,-1,12,4,13,5,1,1,0,1,2,4,2,2,1,4,1,3,16,3,0,1,3,2,2,1,2,1,1,1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,2,1,2,21,2,-1,-1,40,100,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,2,1,6,2,1,3,2,1,1,1,1,6,1,1,1,4,4,2,4,2,3,1,2,4,4,2,7,4,4,5,2,2,1,2,2,1,1,4,1,4,5,5,3,3,1,2,4,70,70,70,15,70,1,2,3,2,1,2,2,1,1,2,2,2,3,1,2,2,4,2,2,2,2,2,2,3,3,3,2,3,4,1,4,2,-4,3,5,2,3
1.891,1.744,3,2,1,2,3,6,2,4,1,1,1,1,1,3,1,4,1,2,3,2,2,1,1,3,6,1,1,4,3,1,2,4,2,-1,2,1,4,4,1,14,1,1,1,2,1,2,3,2,1,2,1,1,2,26,2,1,4,5,5,5,1,2,1,2,1,2,2,2,2,-1,2,-1,2,1,2,1,2,2,1,1,1,11,2,1,-1,85,0,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,5,2,7,1,1,2,4,4,1,4,3,3,4,2,1,4,1,2,2,2,1,4,5,1,2,4,4,4,2,2,1,1,2,1,3,10,3,4,5,1,5,5,4,4,4,4,2,100,100,100,85,85,5,5,1,2,1,1,1,3,3,3,4,4,2,1,5,5,4,3,4,4,3,5,1,2,2,4,2,2,4,1,2,1,-4,3,5,2,2
1.483,1.42,3,3,6,2,3,4,4,7,1,2,3,1,1,4,6,4,1,1,4,2,2,1,4,1,1,1,2,3,1,3,2,1,1,3,1,1,2,11,1,10,5,1,1,0,1,3,40,3,1,2,1,1,3,22,3,0,2,2,2,2,1,2,1,2,2,2,2,2,2,-1,2,-1,2,2,1,2,2,2,-1,1,-1,-1,2,1,1,30,40,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,5,1,2,1,1,3,3,2,2,2,1,6,4,3,2,2,2,2,4,5,2,1,2,4,3,2,4,1,5,5,2,2,1,2,3,5,4,4,2,4,4,3,4,4,1,1,1,60,50,60,40,60,3,4,1,2,1,2,1,3,3,2,4,4,4,4,3,4,4,3,4,3,6,2,1,1,4,4,2,3,4,2,3,2,-4,3,5,2,3
