V160101f,V160102f,V161024x,V161140x,V161158x,V161188,V161192,V161194x,V161198,V161204x,V161208,V161209,V161210,V161211,V161212,V161213x,V161214x,V161215,V161216,V161217,V161218,V161219,V161220,V161221,V161225x,V161227x,V161228x,V161229x,V161231,V161232,V161233x,V161235x,V161236,V161237,V161241,V161242,V161243,V161244,V161245,V161267x,V161268,V161270,V161276x,V161310x,V161316,V161324,V161326,V161327,V161331x,V161334,V161340,V161342,V161343,V161344,V161345,V161361x,V161362,V161496,V161507,V161508,V161509,V161510,V161511,V161515,V161516,V161522,V162010,V162011,V162012,V162013,V162014,V162014a,V162016,V162016a,V162018a,V162018b,V162018c,V162018d,V162018e,V162019,V162030x,V162031x,V162062x,V162066x,V162067x,V162068x,V162069x,V162078,V162079,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,V162123,V162125x,V162136x,V162147x,V162150x,V162157,V162158,V162160,V162168,V162169,V162170,V162171,V162174a,V162178,V162179,V162180x,V162188x,V162191a,V162193x,V162207,V162209,V162210,V162211,V162212,V162213,V162214,V162229x,V162230x,V162231x,V162238x,V162239,V162240,V162241,V162242,V162254,V162255x,V162262,V162263,V162266,V162268,V162269,V162270,V162271,V162272,V162273,V162274,V162290,V162310,V162311,V162312,V162313,V162314,V162316,V162317,V162318,V162319,V162320,V162321,V162322,V162323,V162324,V162325,V162345,V162346,V162347,V162348,V162349,V162350,V162351,V162352,V162353,V162354,V162355,V162356,V162357,V162358,V162359,V162360,V162361,V162362,V162363,V162364,V162365,V162366,V162367,V162368,V162369,V168112,V168113
0.321,0.34700000000000003,3,3,1,3,3,7,4,4,1,3,3,3,3,4,4,4,1,2,3,4,2,1,1,6,5,2,1,4,1,3,1,4,1,3,1,1,1,12,3,11,5,5,1,0,2,2,40,4,2,2,2,2,3,5,4,0,4,1,4,3,1,1,2,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,1,1,11,-1,-1,-1,85,0,50,50,50,70,70,70,50,70,70,70,50,70,50,50,50,100,70,100,70,3,1,4,2,1,4,3,2,1,2,1,99,7,1,3,4,1,1,2,2,3,2,2,2,2,2,4,4,4,5,2,2,1,1,2,8,2,3,3,3,3,3,1,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1
1.5190000000000001,1.672,3,3,1,2,3,5,4,5,1,3,1,1,1,4,4,4,1,2,4,3,1,1,4,6,3,1,1,4,2,3,1,5,1,2,1,1,4,9,5,9,1,2,1,0,1,3,1,3,2,2,2,5,2,7,1,3,4,4,4,5,1,2,-9,4,1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,1,1,11,3,1,-1,85,0,85,70,50,85,100,40,15,85,50,85,0,60,100,70,50,60,50,85,100,3,4,4,4,1,4,3,3,5,3,3,6,3,-9,-9,4,1,1,3,1,1,1,1,5,-9,-9,7,1,4,1,2,3,3,3,3,8,3,4,1,-9,5,5,4,4,-9,4,5,-9,-9,-9,-9,-9,-1,-1,1,1,1,1,2,3,-9,-9,2,2,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,2,-9,-9,-9,3,3,2,-9,-9,3,-4,8,-9,3,3
0.491,0.5770000000000001,1,2,1,1,2,7,99,2,1,1,1,1,3,7,7,2,1,1,4,4,2,1,4,6,6,1,1,2,1,3,1,2,1,3,1,2,-1,9,5,7,1,5,1,0,2,3,40,2,1,2,3,3,3,12,4,0,1,1,1,1,1,2,2,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,85,50,85,85,100,85,100,70,60,100,85,60,70,60,85,85,70,100,85,85,85,4,1,4,1,1,3,4,3,2,1,1,3,-1,2,1,4,2,2,2,2,2,2,2,2,2,1,6,1,1,4,2,2,1,2,2,3,1,2,2,2,3,4,1,1,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2
0.664,0.618,2,2,2,3,4,7,3,4,1,1,1,1,3,4,2,4,-8,3,4,2,2,1,2,2,6,2,1,4,3,1,1,2,2,-1,3,2,-1,5,6,12,7,1,1,0,1,1,2,1,2,1,1,1,2,5,4,0,2,5,5,5,1,2,2,3,1,2,2,2,2,-1,2,-1,2,2,2,2,1,1,-1,1,5,51,1,-1,-1,40,15,25,55,40,30,75,40,40,40,50,30,50,50,50,50,15,50,50,65,45,3,4,6,1,4,2,4,3,2,5,5,2,5,1,1,2,1,2,2,2,2,3,4,1,3,4,6,4,6,4,1,2,2,1,2,10,5,2,2,1,4,3,4,4,2,3,4,80,70,60,60,60,1,4,2,-1,1,1,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,1,4,1,-4,1,5,2,2
0.722,0.7390000000000001,3,2,3,3,3,4,4,4,3,3,3,3,1,5,4,3,2,2,4,3,2,1,2,2,5,2,1,3,-1,2,1,2,2,-1,5,2,-1,6,1,13,7,1,1,0,1,2,1,1,-8,2,1,1,2,22,2,0,3,4,4,4,1,2,2,2,1,2,2,2,2,-1,2,-1,2,2,2,1,1,2,5,1,3,31,-1,3,-1,40,40,40,60,51,-9,51,37,52,50,51,50,51,50,50,50,25,51,51,51,52,4,4,3,4,1,3,-9,5,2,4,5,4,2,-9,-9,6,2,2,-9,2,2,4,3,3,3,2,6,4,5,4,3,3,2,3,3,-9,4,4,4,-9,4,4,4,4,2,3,2,50,50,50,50,50,5,5,2,-1,1,2,1,3,3,3,4,4,3,4,4,4,4,4,4,4,4,2,2,2,4,4,2,3,5,2,5,2,-4,2,4,2,1
1.594,1.5630000000000002,3,2,3,2,3,6,4,4,1,3,1,1,3,4,2,4,2,1,4,2,1,1,1,5,6,1,1,4,2,4,1,3,2,-1,3,1,4,9,2,13,5,1,1,0,1,3,20,2,1,2,1,1,2,27,3,1,4,5,5,5,1,2,2,1,1,1,2,2,1,1,2,-1,2,1,2,1,1,2,4,1,1,11,1,1,-1,70,0,15,50,60,50,50,30,30,30,85,15,50,70,50,70,0,85,70,50,50,4,1,6,1,1,3,4,3,3,5,5,3,7,1,1,3,1,2,2,1,1,5,4,1,2,5,4,4,2,4,1,2,2,1,2,10,1,3,2,2,5,5,4,4,3,3,4,50,50,50,40,50,5,4,1,1,1,2,1,3,3,3,3,3,3,2,5,4,5,4,4,5,3,4,1,2,3,4,1,1,4,1,4,1,-4,3,4,2,1
1.278,1.284,1,3,6,2,3,6,4,2,1,3,1,1,1,7,7,4,2,2,-8,4,1,1,7,-8,1,-1,3,1,3,3,1,2,1,3,1,1,1,13,3,14,5,3,4,1,-8,3,1,4,1,2,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,85,30,60,40,999,998,100,998,60,85,15,40,998,15,60,999,40,40,30,70,40,3,1,6,-8,1,2,3,1,5,1,1,6,-1,-8,2,2,2,2,4,1,4,1,2,4,2,1,1,2,6,5,2,2,1,3,4,-8,2,1,2,3,3,1,2,2,1,2,2,70,60,70,50,70,-1,-1,2,-1,1,2,3,2,3,2,2,4,4,2,2,5,4,4,7,4,7,4,4,4,4,4,2,3,4,1,5,2,-4,3,4,3,2
0.431,0.39299999999999996,3,3,4,2,3,6,1,4,1,1,1,1,1,1,1,3,1,1,3,2,1,2,1,1,4,2,3,4,1,3,1,3,1,1,2,1,4,3,6,12,1,3,1,0,1,2,27,1,1,1,3,2,3,9,3,0,3,5,4,4,1,2,2,5,2,2,2,2,2,-1,2,-1,2,2,1,2,2,2,1,1,4,40,1,1,-1,100,0,25,60,40,65,60,20,20,50,60,20,20,70,40,60,50,35,60,100,60,5,5,7,1,1,3,3,4,1,4,4,1,7,2,1,1,1,2,1,1,1,3,5,5,5,5,6,4,1,5,2,1,2,1,3,10,1,1,5,2,4,3,4,4,2,4,5,100,100,100,70,80,-1,-1,1,2,1,1,2,3,3,3,4,3,2,4,4,5,4,1,2,6,5,2,1,1,4,3,2,4,3,1,2,2,-4,4,5,3,3
0.743,0.721,3,2,3,1,1,2,2,4,2,2,1,1,1,1,7,2,1,1,4,3,1,1,2,1,1,1,2,4,1,1,1,4,1,1,2,1,2,-1,-9,11,1,5,1,0,2,2,4,2,2,1,1,1,3,19,2,7,3,3,3,3,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,-1,1,1,10,1,-1,-1,60,30,30,60,60,50,70,50,30,60,50,50,50,50,50,50,40,60,50,50,60,3,1,2,1,1,5,2,2,2,2,2,4,1,3,3,1,1,2,4,2,3,1,4,2,2,4,6,4,2,2,2,2,1,1,3,10,5,2,2,3,3,3,1,4,1,1,2,50,50,50,40,50,-1,-1,1,2,1,1,1,3,3,3,3,2,2,2,4,2,2,2,4,2,5,2,1,-9,2,4,1,-9,3,1,4,1,-4,6,3,1,1
0.743,0.0,3,2,4,1,3,1,7,1,1,2,2,2,3,2,6,3,1,1,2,3,1,1,4,1,2,1,1,4,3,2,2,3,2,-1,2,2,-1,9,6,10,1,2,1,1,1,2,36,2,1,2,1,1,2,20,2,0,2,5,5,5,1,2,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
1.2770000000000001,1.209,1,5,4,2,1,4,4,4,3,1,1,1,3,7,4,5,1,1,1,5,3,1,1,6,-8,1,1,4,4,5,5,1,2,-1,1,2,-1,5,6,12,1,1,1,0,1,2,8,4,2,1,3,1,3,7,3,0,2,4,2,2,1,2,2,5,2,2,2,2,2,-1,2,-1,2,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,0,50,50,60,0,50,60,15,40,50,70,0,0,50,70,85,50,0,50,100,30,5,3,6,6,1,3,3,3,2,2,1,99,-1,1,3,1,4,-1,2,5,2,3,3,2,1,5,6,4,1,5,2,1,2,1,1,6,5,5,4,3,4,3,1,1,1,2,5,60,60,60,0,60,3,2,1,1,1,1,1,3,3,3,5,7,4,3,5,7,3,3,4,5,4,5,2,3,2,5,2,2,4,3,3,3,-4,1,5,2,2
0.441,0.46,3,3,1,2,3,4,2,5,3,3,3,3,1,5,2,2,2,2,4,2,1,1,3,5,3,1,2,4,2,2,1,4,1,2,2,1,2,9,4,14,1,1,1,0,1,1,1,2,2,2,1,1,2,13,4,0,2,5,3,5,1,1,2,1,1,2,1,2,1,1,2,-1,2,1,1,1,2,2,1,1,1,11,1,1,-1,85,15,70,85,85,70,70,60,60,70,70,60,60,85,85,85,30,70,70,70,85,4,2,6,1,1,2,3,4,2,4,4,2,2,1,1,3,1,2,3,2,2,2,4,2,2,4,4,4,4,4,1,1,2,1,3,10,3,2,2,2,5,5,3,3,2,3,2,85,85,85,70,85,3,5,2,-1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,4,4,2,3,4,2,4,2,-4,4,5,2,1
0.8320000000000001,0.838,3,5,7,1,1,7,7,7,1,2,1,2,-8,7,7,5,1,1,1,4,1,1,-8,-9,1,1,3,1,1,5,5,1,1,3,1,1,2,10,4,11,6,1,1,0,1,3,20,4,2,2,5,1,3,6,4,1,3,2,1,4,1,1,2,4,1,2,2,2,2,-1,2,-1,2,1,1,2,1,2,-1,1,2,21,2,-1,-1,0,100,85,50,40,100,100,50,100,85,50,60,50,0,100,100,40,100,50,100,0,4,1,7,1,1,5,1,2,5,1,1,7,7,-8,1,-8,6,2,2,5,4,1,1,5,5,1,4,4,7,5,2,2,1,3,2,1,2,1,1,5,1,1,2,1,1,1,5,50,50,50,0,50,2,1,3,1,2,-1,2,1,2,2,2,3,1,4,1,4,4,4,4,1,7,1,5,5,5,5,5,5,5,5,2,5,-4,2,5,2,2
0.95,0.9640000000000001,3,5,7,1,2,1,6,7,1,2,1,2,2,2,7,4,1,1,2,4,2,-8,7,1,-8,2,2,2,1,4,4,2,1,2,2,2,-1,9,1,13,1,1,1,0,1,2,40,3,1,2,5,1,2,1,3,0,2,4,5,5,1,2,2,2,1,2,2,2,2,-1,2,-1,2,2,1,2,2,1,-1,1,2,21,2,-1,-1,0,100,100,50,40,30,100,60,100,60,50,40,85,30,100,100,85,40,50,100,0,3,1,6,1,1,5,1,2,1,1,2,7,7,3,2,5,6,2,5,5,2,1,1,5,5,2,4,4,6,5,2,1,1,1,3,9,4,5,2,3,3,1,4,3,1,2,2,85,70,70,0,85,2,4,3,3,1,2,2,3,1,2,4,5,3,3,4,6,2,3,6,2,7,2,3,2,4,3,2,3,4,2,3,1,-4,1,5,2,2
1.929,0.0,1,4,2,5,2,4,99,4,3,3,3,3,3,4,4,5,2,3,5,5,3,2,5,4,4,3,2,1,2,5,1,1,1,3,1,1,5,9,4,9,6,1,1,0,2,2,5,1,2,2,1,1,3,5,1,0,3,3,3,3,1,2,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0.645,0.65,3,3,7,1,1,1,5,7,1,2,-8,3,2,3,7,5,1,1,4,1,3,2,7,2,1,3,3,2,1,4,2,1,1,1,2,2,-1,13,1,10,5,1,1,0,1,3,27,3,2,1,5,1,3,-9,-9,0,5,1,5,5,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,1,2,1,-1,1,2,21,2,-1,-1,30,70,60,60,30,50,70,70,100,30,60,30,50,50,85,70,70,100,60,50,15,3,1,-8,1,1,3,2,3,3,3,-8,6,4,2,2,6,6,2,2,5,2,1,1,3,3,2,6,-8,-8,5,2,2,3,1,4,8,2,4,1,2,2,3,2,3,1,1,1,70,80,70,0,80,3,4,2,-1,2,-1,2,2,2,2,3,3,3,3,2,2,2,2,3,2,3,3,-9,4,-9,4,3,3,-9,3,4,3,-4,2,5,1,1
1.7990000000000002,2.117,3,5,3,1,3,4,1,4,3,2,3,3,3,6,4,1,2,2,4,4,1,-8,4,-8,1,4,1,4,4,2,1,3,1,3,1,1,4,7,4,9,6,2,1,0,2,2,1,1,2,2,5,5,1,2,3,0,2,2,3,4,1,1,2,1,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,1,1,-1,-1,-1,-1,-1,100,2,85,50,50,50,100,70,60,60,0,60,70,50,100,50,70,100,15,50,60,2,2,6,1,4,5,3,3,1,1,2,99,-1,2,3,2,1,1,7,4,1,2,2,3,4,3,3,4,4,2,2,2,1,2,1,10,2,2,4,-8,4,3,1,1,1,1,4,0,15,100,40,40,-1,-1,2,-1,2,-1,3,2,3,2,3,1,4,3,4,2,3,3,2,1,4,1,2,4,4,3,5,2,3,4,3,5,-4,4,5,4,3
0.8340000000000001,0.794,3,1,3,1,2,7,6,4,1,2,1,3,1,2,2,4,2,1,4,2,1,1,1,5,5,1,1,4,4,1,1,5,1,3,2,1,4,9,2,13,1,1,1,0,1,3,25,2,1,2,1,1,1,28,1,1,5,5,3,5,1,2,2,1,2,2,2,2,2,-1,2,-1,2,2,1,1,1,2,1,1,1,11,1,1,1,70,0,60,100,60,40,85,60,60,70,85,60,60,100,100,100,40,85,100,100,85,3,1,1,4,1,4,4,2,1,5,5,4,4,1,2,1,1,2,4,2,1,4,5,2,2,5,5,4,1,4,1,1,2,1,3,3,4,4,4,2,5,5,4,4,1,2,2,50,50,50,30,50,5,4,1,2,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,2,1,2,2,1,1,4,1,3,1,-4,5,4,3,2
0.096,0.095,3,3,2,3,1,3,99,-8,1,1,2,2,3,1,7,5,1,1,3,3,3,1,1,1,2,3,3,2,1,3,1,3,1,2,1,2,-1,13,1,12,5,1,1,0,2,1,40,3,2,1,3,2,3,1,1,0,3,4,4,4,1,2,2,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,0,-1,-1,-1,-1,-1,40,75,50,50,50,70,70,0,80,0,50,0,70,0,50,50,50,95,85,85,0,1,1,7,1,1,5,1,4,1,1,2,99,-1,3,2,1,1,2,1,1,2,1,1,2,4,1,7,1,2,4,2,2,2,2,2,5,5,5,5,2,4,5,1,2,1,1,2,50,0,0,0,85,2,2,1,2,1,2,2,2,2,1,3,6,6,5,4,7,7,7,7,5,7,3,2,4,4,4,2,3,4,4,4,2,-4,3,5,2,2
0.379,0.366,2,3,5,2,3,7,6,4,1,2,2,2,3,1,4,4,1,1,3,2,2,1,4,5,6,1,1,1,1,1,1,4,1,2,2,1,4,8,4,13,1,1,1,0,1,2,8,2,2,1,1,1,3,23,3,4,2,5,4,3,1,2,2,2,1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,1,1,2,20,1,2,-1,15,30,0,50,60,40,85,70,70,85,70,15,85,70,100,100,50,100,85,100,15,4,1,2,1,1,3,4,3,1,3,5,5,3,1,1,4,4,2,7,5,1,1,1,2,5,2,7,1,5,4,2,2,1,1,2,8,5,5,1,1,5,5,2,1,1,2,2,100,85,100,0,85,5,4,2,-1,2,-1,2,2,2,2,5,4,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,3,4,3,4,4,-4,2,5,2,2
1.003,0.0,3,2,1,2,3,6,3,2,3,3,3,3,1,6,2,4,1,1,3,3,2,1,1,6,6,1,1,4,4,1,2,4,2,-1,3,2,-1,7,1,15,1,1,1,2,1,3,10,2,1,1,1,2,2,28,2,0,5,5,5,5,1,2,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0.93,0.963,3,3,2,2,3,4,5,5,1,3,1,3,1,4,6,3,1,1,3,3,1,1,2,2,6,1,1,3,1,4,2,4,1,1,2,1,4,7,4,13,1,6,4,3,1,2,30,2,2,2,2,1,2,14,3,10,2,3,3,3,1,2,1,2,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,1,1,1,10,1,2,-1,50,50,40,70,70,60,50,40,50,60,85,40,50,60,85,85,30,85,85,70,60,2,1,4,1,1,4,3,3,2,3,3,4,7,3,3,2,2,2,3,2,3,4,2,4,3,4,4,4,2,5,2,2,2,1,2,9,2,4,2,2,4,4,4,4,1,2,2,85,85,85,40,85,-1,-1,1,3,1,1,1,3,3,3,5,4,4,3,4,4,3,5,4,5,3,4,2,2,3,4,2,2,3,1,3,2,-4,4,3,3,3
1.921,1.949,4,3,7,2,1,2,4,-8,2,2,3,2,2,1,1,4,1,1,3,2,3,2,7,1,2,4,3,1,1,4,4,1,1,3,1,1,1,9,1,13,7,1,1,4,1,2,17,2,2,2,1,1,3,24,2,1,4,5,5,5,1,2,1,1,1,2,2,2,2,-1,2,-1,2,1,1,1,1,2,2,1,2,21,2,2,-1,40,70,85,0,15,0,100,85,85,85,60,60,100,85,100,85,85,100,70,85,40,-8,1,7,7,7,5,3,2,3,3,5,6,2,-8,2,4,7,2,7,5,5,1,2,5,5,4,4,1,4,5,2,2,1,1,3,1,4,5,2,4,4,2,1,4,4,1,1,100,100,100,15,100,5,3,3,2,2,-1,2,2,2,2,3,3,3,3,3,3,3,3,6,3,6,2,2,4,3,4,4,4,-9,-9,4,4,-4,5,4,1,2
0.902,0.833,3,3,7,1,1,6,7,7,1,2,2,2,3,5,7,5,1,1,4,2,1,1,4,1,1,4,2,4,1,3,4,1,1,2,2,1,3,2,6,10,1,1,1,0,1,2,1,4,2,1,5,1,3,28,4,10,3,3,3,3,1,2,2,1,2,2,2,2,2,-1,2,-1,2,2,1,1,2,2,-1,1,2,20,2,2,-1,0,40,50,40,30,15,50,40,60,60,50,40,50,50,60,50,40,100,50,50,0,3,1,6,1,2,4,3,3,1,2,3,6,6,2,1,2,4,2,4,4,1,3,2,4,4,2,5,4,5,5,2,2,2,1,4,7,2,4,2,4,2,2,1,3,1,1,2,50,50,50,0,50,5,4,2,-1,2,-1,2,2,2,2,4,4,3,3,4,5,3,3,3,3,4,4,4,4,4,5,3,4,5,3,5,2,-4,2,4,2,2
0.887,0.0,3,3,7,1,3,2,3,4,1,3,3,3,3,2,7,2,2,2,4,4,1,1,4,6,2,1,3,3,1,3,4,2,1,2,1,1,3,7,1,14,1,1,1,3,1,3,15,2,1,1,1,1,3,26,4,4,3,5,5,5,1,2,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
0.7020000000000001,0.659,3,3,6,1,3,4,1,1,1,1,1,1,1,1,1,2,2,3,4,4,1,1,4,1,5,1,1,4,4,2,1,4,2,-1,2,2,-1,10,6,14,4,1,1,0,2,1,40,1,1,2,4,4,1,3,1,0,3,4,2,3,1,1,1,5,1,2,2,2,2,-1,2,-1,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,70,60,60,70,50,100,100,100,60,100,100,100,50,50,100,100,60,60,100,100,70,3,1,4,2,1,3,3,1,5,5,1,4,1,2,3,4,4,2,2,5,2,1,3,4,5,2,6,4,4,5,2,2,1,2,3,8,5,5,1,2,5,3,2,2,1,1,1,100,100,100,0,100,1,3,2,-1,1,1,2,2,2,2,1,1,1,1,4,4,4,4,4,4,2,1,-9,-9,3,4,3,3,4,3,4,3,-4,1,5,2,2
0.9209999999999999,0.884,3,2,1,3,4,5,6,6,1,3,1,1,1,4,4,3,1,2,4,2,1,1,1,5,5,1,1,4,2,1,1,3,2,-1,3,1,4,10,1,16,1,1,1,0,1,3,27,2,1,1,1,1,3,27,4,0,4,5,5,4,1,2,2,3,1,2,2,2,2,-1,2,-1,2,2,1,2,2,2,1,1,1,11,1,1,-1,70,0,40,70,85,70,70,40,40,70,85,40,70,40,60,100,30,70,50,85,60,2,2,4,1,1,3,3,3,1,4,5,3,7,2,1,2,1,2,2,2,2,2,2,4,4,3,6,4,4,5,2,2,2,1,4,10,2,2,2,3,4,4,2,3,2,2,2,85,70,85,40,85,4,5,2,-1,1,1,2,3,2,2,2,4,5,2,2,3,3,2,5,2,4,2,3,4,5,5,2,4,5,4,5,2,-4,3,5,1,1
2.73,2.987,3,4,7,4,2,6,4,-8,1,1,1,1,3,-8,-8,4,1,1,4,2,3,1,-8,1,1,1,3,2,1,4,4,-8,1,3,1,1,1,11,1,8,5,1,1,0,1,3,36,3,1,2,3,1,3,15,4,-9,3,5,5,5,1,-9,-9,2,1,2,2,2,2,-1,2,-1,2,2,1,2,2,2,-1,1,2,21,2,-1,-1,30,60,80,30,50,998,998,75,75,75,998,60,998,50,75,998,80,80,998,90,20,2,1,6,2,4,5,3,5,-8,2,2,6,1,2,2,2,6,2,4,5,-8,1,2,1,2,4,4,2,-8,4,2,2,2,1,4,8,2,5,2,3,-8,-8,3,3,1,-8,1,85,85,85,25,85,1,3,2,-1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,-9,4,4,4,4,4,2,-9,2,-4,2,5,3,3
1.3559999999999999,1.3459999999999999,3,3,2,2,3,4,1,4,2,3,1,1,1,5,3,4,1,1,2,3,3,1,1,6,5,1,1,4,1,4,2,4,2,-1,3,2,-1,4,1,10,8,1,1,1,1,2,2,2,1,1,1,1,2,12,2,0,4,5,5,5,1,2,2,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,1,1,1,11,1,1,-1,60,0,0,85,70,60,85,0,15,60,85,30,15,70,15,85,15,30,85,100,85,4,3,7,1,1,3,3,3,1,5,4,2,1,1,1,1,1,2,3,1,1,5,5,1,2,5,4,4,2,2,2,2,2,1,2,9,2,4,2,2,5,5,3,3,2,3,2,85,85,85,70,60,5,5,1,1,1,1,1,3,3,2,4,4,3,2,6,5,5,3,5,5,5,2,1,2,4,5,1,2,5,2,5,1,-4,1,5,2,2
2.6069999999999998,0.0,3,2,2,3,3,6,2,7,1,3,1,1,1,5,4,3,1,2,4,4,1,1,3,1,6,1,1,4,2,2,1,4,1,3,1,1,2,7,1,9,1,2,4,0,1,3,5,3,1,2,3,1,3,15,3,0,3,4,4,3,1,2,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1,-1,-1,-1,-1,-1,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
