,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4205,17062517,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & HEARST AVE,Berkeley,CA,Sunday,37.868878,-122.300284,2017-10-15 16:21:00
4206,17049725,ASSAULT/BATTERY FEL.,ASSAULT,1600 PRINCE ST,Berkeley,CA,Tuesday,37.85177,-122.27648899999998,2017-08-22 22:30:00
4207,17053731,DISTURBANCE,DISORDERLY CONDUCT,1600 DWIGHT WAY,Berkeley,CA,Thursday,37.862516,-122.27853,2017-09-07 21:02:00
4208,17048354,THEFT FELONY (OVER $950),LARCENY,1900 GRANT ST,Berkeley,CA,Thursday,37.873017,-122.275481,2017-08-17 11:30:00
4209,17070026,ROBBERY,ROBBERY,2800 COLLEGE AVE,Berkeley,CA,Friday,37.859988,-122.25333899999998,2017-11-17 11:53:00
4211,18002746,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 DELAWARE ST,Berkeley,CA,Friday,37.871271,-122.295015,2017-12-15 18:00:00
4212,17091882,VANDALISM,VANDALISM,900 GRIZZLY PEAK BLVD,Berkeley,CA,Monday,37.897,-122.261674,2017-09-18 21:00:00
4213,17074269,THEFT FELONY (OVER $950),LARCENY,1200 FIFTH ST,Berkeley,CA,Thursday,37.880786,-122.303067,2017-12-07 10:42:00
4214,17061406,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3100 COLLEGE AVE,Berkeley,CA,Tuesday,37.853665,-122.252715,2017-10-10 15:00:00
4215,18003667,GUN/WEAPON,WEAPONS OFFENSE,ACTON STREET & WARD ST,Berkeley,CA,Thursday,37.857501,-122.282522,2018-01-18 20:54:00
4216,17091755,THEFT MISD. (UNDER $950),LARCENY,2300 DWIGHT WAY,Berkeley,CA,Sunday,37.864535,-122.262993,2017-09-03 08:45:00
4217,17092010,IDENTITY THEFT,FRAUD,1200 OXFORD ST,Berkeley,CA,Friday,37.885776,-122.267671,2017-09-29 07:35:00
4218,17051677,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,Berkeley,CA,Wednesday,37.88015,-122.297446,2017-08-30 21:10:00
4219,18006973,THEFT FELONY (OVER $950),LARCENY,2200 BANCROFT WAY,Berkeley,CA,Saturday,37.867871,-122.26565,2018-02-03 18:00:00
4220,17091752,BURGLARY AUTO,BURGLARY - VEHICLE,2700 MILVIA ST,Berkeley,CA,Saturday,37.860225,-122.269453,2017-09-02 14:25:00
4221,17051699,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2400 SEVENTH ST,Berkeley,CA,Wednesday,37.861944,-122.294607,2017-08-30 23:43:00
4222,17069039,ROBBERY,ROBBERY,2400 LE CONTE AVE,Berkeley,CA,Sunday,37.876251,-122.262453,2017-11-12 19:20:00
4223,17062683,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,Berkeley,CA,Monday,37.858079,-122.268016,2017-10-16 11:39:00
4224,17073474,BURGLARY AUTO,BURGLARY - VEHICLE,2100 ADDISON ST,Berkeley,CA,Sunday,37.871323,-122.267222,2017-12-03 13:00:00
4225,17068976,DISTURBANCE,DISORDERLY CONDUCT,1000 GILMAN ST,Berkeley,CA,Sunday,37.88015,-122.297446,2017-11-12 13:00:00
4226,18007253,FRAUD/FORGERY,FRAUD,900 SHATTUCK AVE,Berkeley,CA,Tuesday,37.890945,-122.271126,2018-01-23 12:00:00
4227,17091990,THEFT MISD. (UNDER $950),LARCENY,2200 WARD ST,Berkeley,CA,Monday,37.8598,-122.264351,2017-10-02 12:45:00
4228,18001715,ROBBERY,ROBBERY,2300 SHATTUCK AVE,Berkeley,CA,Tuesday,37.867176,-122.267802,2018-01-09 17:35:00
4229,18005915,FRAUD/FORGERY,FRAUD,1400 ALLSTON WAY,Berkeley,CA,Friday,37.867117,-122.283641,2018-01-26 00:00:00
