incidntnum,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,pdid
40710883,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,06/21/2004,00:01:00,TARAVAL,NONE,700 Block of CAPITOL AV,-122.459137143668,37.7170368178682,"(37.7170368178682, -122.459137143668)",4071088364070
30495437,WARRANTS,WARRANT ARREST,Monday,04/28/2003,11:00:00,CENTRAL,"ARREST, BOOKED",CALIFORNIA ST / GRANT AV,-122.405942287676,37.7924508111492,"(37.7924508111492, -122.405942287676)",3049543763010
170462441,WEAPON LAWS,"WEAPON, DEADLY, EXHIBITING TO RESIST ARREST",Tuesday,06/06/2017,12:35:00,MISSION,"ARREST, BOOKED",ALAMEDA ST / TREAT AV,-122.4124243640024,37.76807416938478,"(37.76807416938478, -122.4124243640024)",17046244127173
100238331,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,03/12/2010,21:30:00,BAYVIEW,NONE,TEXAS ST / 17TH ST,-122.395810281469,37.7651891001345,"(37.7651891001345, -122.395810281469)",10023833106244
186015242,NON-CRIMINAL,LOST PROPERTY,Wednesday,01/17/2018,08:30:00,SOUTHERN,NONE,3RD ST / SOUTHPARK AV,-122.39506762691593,37.780701811938705,"(37.780701811938705, -122.39506762691593)",18601524271e3
151038172,FRAUD,"CREDIT CARD, THEFT OF",Sunday,11/29/2015,05:51:00,TENDERLOIN,NONE,500 Block of EDDY ST,-122.416710733848,37.7833570390935,"(37.7833570390935, -122.416710733848)",15103817209310
31273848,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,10/30/2003,20:30:00,CENTRAL,NONE,700 Block of SUTTER ST,-122.41274032268,37.788755110963,"(37.788755110963, -122.41274032268)",3127384805013
110565055,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,07/14/2011,16:30:00,MISSION,"ARREST, BOOKED",2000 Block of MARKET ST,-122.426955631709,37.769247063207,"(37.769247063207, -122.426955631709)",11056505516621
130535812,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Saturday,06/29/2013,23:43:00,SOUTHERN,"ARREST, BOOKED",10TH ST / HARRISON ST,-122.411279189969,37.7715785765043,"(37.7715785765043, -122.411279189969)",13053581265050
131028046,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,12/06/2013,03:13:00,SOUTHERN,"ARREST, BOOKED",15TH ST / VERMONT ST,-122.404752558962,37.7672561981064,"(37.7672561981064, -122.404752558962)",13102804604014
80395906,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,04/15/2008,21:15:00,RICHMOND,NONE,800 Block of 26TH AV,-122.485397430622,37.7734330085814,"(37.7734330085814, -122.485397430622)",8039590606244
100145786,ASSAULT,STALKING,Saturday,02/13/2010,08:52:00,CENTRAL,NONE,1900 Block of MASON ST,-122.412733324537,37.8016704495194,"(37.8016704495194, -122.412733324537)",10014578615201
71052395,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Saturday,10/13/2007,23:25:00,NORTHERN,NONE,MCALLISTER ST / FRANKLIN ST,-122.421893134467,37.779891233614,"(37.779891233614, -122.421893134467)",7105239504074
41317975,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,11/18/2004,10:00:00,CENTRAL,NONE,800 Block of SUTTER ST,-122.414368110368,37.7884368260567,"(37.7884368260567, -122.414368110368)",4131797506244
160710200,NON-CRIMINAL,CASE CLOSURE,Tuesday,08/30/2016,04:00:00,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.43268094292587,37.78282144901397,"(37.78282144901397, -122.43268094292587)",16071020075030
150151620,WARRANTS,WARRANT ARREST,Wednesday,02/18/2015,17:14:00,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",15015162063010
